,Year ID,Location,Age,Sex,Disease Stage,Scenario,Measure,Metric,Mean,95% UI Lower,95% UI Upper
86,2025,Brazil,40_to_44,Male,AD Dementia,Reference,Averted Deaths,Number,0.0,0.0,0.0
87,2025,Brazil,40_to_44,Male,AD Dementia,Reference,Averted Deaths,"Rate per 100,000",0.0,0.0,0.0
88,2025,Brazil,40_to_44,Male,AD Dementia,BBBM Testing Only,AD Deaths,Number,0.0,0.0,0.0
89,2025,Brazil,40_to_44,Male,AD Dementia,BBBM Testing Only,AD Deaths,"Rate per 100,000",0.0,0.0,0.0
90,2025,Brazil,40_to_44,Male,AD Dementia,BBBM Testing Only,Averted Deaths,Number,0.0,0.0,0.0
91,2025,Brazil,40_to_44,Male,AD Dementia,BBBM Testing Only,Averted Deaths,"Rate per 100,000",0.0,0.0,0.0
92,2025,Brazil,40_to_44,Male,AD Dementia,BBBM Testing and Treatment,AD Deaths,Number,0.0,0.0,0.0
93,2025,Brazil,40_to_44,Male,AD Dementia,BBBM Testing and Treatment,AD Deaths,"Rate per 100,000",0.0,0.0,0.0
94,2025,Brazil,40_to_44,Male,AD Dementia,BBBM Testing and Treatment,Averted Deaths,Number,0.0,0.0,0.0
95,2025,Brazil,40_to_44,Male,AD Dementia,BBBM Testing and Treatment,Averted Deaths,"Rate per 100,000",0.0,0.0,0.0
96,2025,Brazil,45_to_49,Female,AD Dementia,Reference,AD Deaths,Number,31.203964783631864,1.9502477989769915,74.10941636112567
97,2025,Brazil,45_to_49,Female,AD Dementia,Reference,AD Deaths,"Rate per 100,000",0.0003120396478363186,1.9502477989769917e-05,0.0007410941636112568
98,2025,Brazil,45_to_49,Female,AD Dementia,Reference,Averted Deaths,Number,0.0,0.0,0.0
99,2025,Brazil,45_to_49,Female,AD Dementia,Reference,Averted Deaths,"Rate per 100,000",0.0,0.0,0.0
100,2025,Brazil,45_to_49,Female,AD Dementia,BBBM Testing Only,AD Deaths,Number,31.203964783631864,1.9502477989769915,74.10941636112567
101,2025,Brazil,45_to_49,Female,AD Dementia,BBBM Testing Only,AD Deaths,"Rate per 100,000",0.0003120396478363186,1.9502477989769917e-05,0.0007410941636112568
102,2025,Brazil,45_to_49,Female,AD Dementia,BBBM Testing Only,Averted Deaths,Number,0.0,0.0,0.0
103,2025,Brazil,45_to_49,Female,AD Dementia,BBBM Testing Only,Averted Deaths,"Rate per 100,000",0.0,0.0,0.0
104,2025,Brazil,45_to_49,Female,AD Dementia,BBBM Testing and Treatment,AD Deaths,Number,31.203964783631864,1.9502477989769915,74.10941636112567
105,2025,Brazil,45_to_49,Female,AD Dementia,BBBM Testing and Treatment,AD Deaths,"Rate per 100,000",0.0003120396478363186,1.9502477989769917e-05,0.0007410941636112568
106,2025,Brazil,45_to_49,Female,AD Dementia,BBBM Testing and Treatment,Averted Deaths,Number,0.0,0.0,0.0
107,2025,Brazil,45_to_49,Female,AD Dementia,BBBM Testing and Treatment,Averted Deaths,"Rate per 100,000",0.0,0.0,0.0
108,2025,Brazil,45_to_49,Male,AD Dementia,Reference,AD Deaths,Number,3.900495597953983,0.0,17.552230190792923
109,2025,Brazil,45_to_49,Male,AD Dementia,Reference,AD Deaths,"Rate per 100,000",3.900495597953983e-05,0.0,0.00017552230190792922
110,2025,Brazil,45_to_49,Male,AD Dementia,Reference,Averted Deaths,Number,0.0,0.0,0.0
111,2025,Brazil,45_to_49,Male,AD Dementia,Reference,Averted Deaths,"Rate per 100,000",0.0,0.0,0.0
112,2025,Brazil,45_to_49,Male,AD Dementia,BBBM Testing Only,AD Deaths,Number,3.900495597953983,0.0,17.552230190792923
113,2025,Brazil,45_to_49,Male,AD Dementia,BBBM Testing Only,AD Deaths,"Rate per 100,000",3.900495597953983e-05,0.0,0.00017552230190792922
114,2025,Brazil,45_to_49,Male,AD Dementia,BBBM Testing Only,Averted Deaths,Number,0.0,0.0,0.0
115,2025,Brazil,45_to_49,Male,AD Dementia,BBBM Testing Only,Averted Deaths,"Rate per 100,000",0.0,0.0,0.0
116,2025,Brazil,45_to_49,Male,AD Dementia,BBBM Testing and Treatment,AD Deaths,Number,3.900495597953983,0.0,17.552230190792923
117,2025,Brazil,45_to_49,Male,AD Dementia,BBBM Testing and Treatment,AD Deaths,"Rate per 100,000",3.900495597953983e-05,0.0,0.00017552230190792922
118,2025,Brazil,45_to_49,Male,AD Dementia,BBBM Testing and Treatment,Averted Deaths,Number,0.0,0.0,0.0
119,2025,Brazil,45_to_49,Male,AD Dementia,BBBM Testing and Treatment,Averted Deaths,"Rate per 100,000",0.0,0.0,0.0
120,2025,Brazil,50_to_54,Female,AD Dementia,Reference,AD Deaths,Number,206.72626669156108,175.52230190792923,234.02973587723898
121,2025,Brazil,50_to_54,Female,AD Dementia,Reference,AD Deaths,"Rate per 100,000",0.002067262666915611,0.0017552230190792924,0.0023402973587723897
122,2025,Brazil,50_to_54,Female,AD Dementia,Reference,Averted Deaths,Number,0.0,0.0,0.0
123,2025,Brazil,50_to_54,Female,AD Dementia,Reference,Averted Deaths,"Rate per 100,000",0.0,0.0,0.0
124,2025,Brazil,50_to_54,Female,AD Dementia,BBBM Testing Only,AD Deaths,Number,206.72626669156108,175.52230190792923,234.02973587723898
125,2025,Brazil,50_to_54,Female,AD Dementia,BBBM Testing Only,AD Deaths,"Rate per 100,000",0.002067262666915611,0.0017552230190792924,0.0023402973587723897
126,2025,Brazil,50_to_54,Female,AD Dementia,BBBM Testing Only,Averted Deaths,Number,0.0,0.0,0.0
127,2025,Brazil,50_to_54,Female,AD Dementia,BBBM Testing Only,Averted Deaths,"Rate per 100,000",0.0,0.0,0.0
128,2025,Brazil,50_to_54,Female,AD Dementia,BBBM Testing and Treatment,AD Deaths,Number,206.72626669156108,175.52230190792923,234.02973587723898
129,2025,Brazil,50_to_54,Female,AD Dementia,BBBM Testing and Treatment,AD Deaths,"Rate per 100,000",0.002067262666915611,0.0017552230190792924,0.0023402973587723897
130,2025,Brazil,50_to_54,Female,AD Dementia,BBBM Testing and Treatment,Averted Deaths,Number,0.0,0.0,0.0
131,2025,Brazil,50_to_54,Female,AD Dementia,BBBM Testing and Treatment,Averted Deaths,"Rate per 100,000",0.0,0.0,0.0
132,2025,Brazil,50_to_54,Male,AD Dementia,Reference,AD Deaths,Number,66.3084251652177,3.900495597953983,132.61685033043543
133,2025,Brazil,50_to_54,Male,AD Dementia,Reference,AD Deaths,"Rate per 100,000",0.0006630842516521772,3.9004955979539834e-05,0.001326168503304354
134,2025,Brazil,50_to_54,Male,AD Dementia,Reference,Averted Deaths,Number,0.0,0.0,0.0
135,2025,Brazil,50_to_54,Male,AD Dementia,Reference,Averted Deaths,"Rate per 100,000",0.0,0.0,0.0
136,2025,Brazil,50_to_54,Male,AD Dementia,BBBM Testing Only,AD Deaths,Number,66.3084251652177,3.900495597953983,132.61685033043543
137,2025,Brazil,50_to_54,Male,AD Dementia,BBBM Testing Only,AD Deaths,"Rate per 100,000",0.0006630842516521772,3.9004955979539834e-05,0.001326168503304354
138,2025,Brazil,50_to_54,Male,AD Dementia,BBBM Testing Only,Averted Deaths,Number,0.0,0.0,0.0
139,2025,Brazil,50_to_54,Male,AD Dementia,BBBM Testing Only,Averted Deaths,"Rate per 100,000",0.0,0.0,0.0
140,2025,Brazil,50_to_54,Male,AD Dementia,BBBM Testing and Treatment,AD Deaths,Number,66.3084251652177,3.900495597953983,132.61685033043543
141,2025,Brazil,50_to_54,Male,AD Dementia,BBBM Testing and Treatment,AD Deaths,"Rate per 100,000",0.0006630842516521772,3.9004955979539834e-05,0.001326168503304354
142,2025,Brazil,50_to_54,Male,AD Dementia,BBBM Testing and Treatment,Averted Deaths,Number,0.0,0.0,0.0
143,2025,Brazil,50_to_54,Male,AD Dementia,BBBM Testing and Treatment,Averted Deaths,"Rate per 100,000",0.0,0.0,0.0
144,2025,Brazil,55_to_59,Female,AD Dementia,Reference,AD Deaths,Number,370.5470818056284,351.04460381585847,405.65154218721426
145,2025,Brazil,55_to_59,Female,AD Dementia,Reference,AD Deaths,"Rate per 100,000",0.003705470818056284,0.0035104460381585848,0.004056515421872142
146,2025,Brazil,55_to_59,Female,AD Dementia,Reference,Averted Deaths,Number,0.0,0.0,0.0
147,2025,Brazil,55_to_59,Female,AD Dementia,Reference,Averted Deaths,"Rate per 100,000",0.0,0.0,0.0
148,2025,Brazil,55_to_59,Female,AD Dementia,BBBM Testing Only,AD Deaths,Number,370.5470818056284,351.04460381585847,405.65154218721426
149,2025,Brazil,55_to_59,Female,AD Dementia,BBBM Testing Only,AD Deaths,"Rate per 100,000",0.003705470818056284,0.0035104460381585848,0.004056515421872142
150,2025,Brazil,55_to_59,Female,AD Dementia,BBBM Testing Only,Averted Deaths,Number,0.0,0.0,0.0
151,2025,Brazil,55_to_59,Female,AD Dementia,BBBM Testing Only,Averted Deaths,"Rate per 100,000",0.0,0.0,0.0
152,2025,Brazil,55_to_59,Female,AD Dementia,BBBM Testing and Treatment,AD Deaths,Number,370.5470818056284,351.04460381585847,405.65154218721426
153,2025,Brazil,55_to_59,Female,AD Dementia,BBBM Testing and Treatment,AD Deaths,"Rate per 100,000",0.003705470818056284,0.0035104460381585848,0.004056515421872142
154,2025,Brazil,55_to_59,Female,AD Dementia,BBBM Testing and Treatment,Averted Deaths,Number,0.0,0.0,0.0
155,2025,Brazil,55_to_59,Female,AD Dementia,BBBM Testing and Treatment,Averted Deaths,"Rate per 100,000",0.0,0.0,0.0
156,2025,Brazil,55_to_59,Male,AD Dementia,Reference,AD Deaths,Number,222.32824908337702,195.02477989769915,286.6864264496178
157,2025,Brazil,55_to_59,Male,AD Dementia,Reference,AD Deaths,"Rate per 100,000",0.0022232824908337704,0.0019502477989769916,0.0028668642644961778
158,2025,Brazil,55_to_59,Male,AD Dementia,Reference,Averted Deaths,Number,0.0,0.0,0.0
159,2025,Brazil,55_to_59,Male,AD Dementia,Reference,Averted Deaths,"Rate per 100,000",0.0,0.0,0.0
160,2025,Brazil,55_to_59,Male,AD Dementia,BBBM Testing Only,AD Deaths,Number,222.32824908337702,195.02477989769915,286.6864264496178
161,2025,Brazil,55_to_59,Male,AD Dementia,BBBM Testing Only,AD Deaths,"Rate per 100,000",0.0022232824908337704,0.0019502477989769916,0.0028668642644961778
162,2025,Brazil,55_to_59,Male,AD Dementia,BBBM Testing Only,Averted Deaths,Number,0.0,0.0,0.0
163,2025,Brazil,55_to_59,Male,AD Dementia,BBBM Testing Only,Averted Deaths,"Rate per 100,000",0.0,0.0,0.0
164,2025,Brazil,55_to_59,Male,AD Dementia,BBBM Testing and Treatment,AD Deaths,Number,222.32824908337702,195.02477989769915,286.6864264496178
165,2025,Brazil,55_to_59,Male,AD Dementia,BBBM Testing and Treatment,AD Deaths,"Rate per 100,000",0.0022232824908337704,0.0019502477989769916,0.0028668642644961778
166,2025,Brazil,55_to_59,Male,AD Dementia,BBBM Testing and Treatment,Averted Deaths,Number,0.0,0.0,0.0
167,2025,Brazil,55_to_59,Male,AD Dementia,BBBM Testing and Treatment,Averted Deaths,"Rate per 100,000",0.0,0.0,0.0
168,2025,Brazil,60_to_64,Female,AD Dementia,Reference,AD Deaths,Number,889.3129963335081,709.8901988276249,1027.7805900608746
169,2025,Brazil,60_to_64,Female,AD Dementia,Reference,AD Deaths,"Rate per 100,000",0.008893129963335081,0.007098901988276249,0.010277805900608747
170,2025,Brazil,60_to_64,Female,AD Dementia,Reference,Averted Deaths,Number,0.0,0.0,0.0
171,2025,Brazil,60_to_64,Female,AD Dementia,Reference,Averted Deaths,"Rate per 100,000",0.0,0.0,0.0
172,2025,Brazil,60_to_64,Female,AD Dementia,BBBM Testing Only,AD Deaths,Number,889.3129963335081,709.8901988276249,1027.7805900608746
173,2025,Brazil,60_to_64,Female,AD Dementia,BBBM Testing Only,AD Deaths,"Rate per 100,000",0.008893129963335081,0.007098901988276249,0.010277805900608747
174,2025,Brazil,60_to_64,Female,AD Dementia,BBBM Testing Only,Averted Deaths,Number,0.0,0.0,0.0
175,2025,Brazil,60_to_64,Female,AD Dementia,BBBM Testing Only,Averted Deaths,"Rate per 100,000",0.0,0.0,0.0
176,2025,Brazil,60_to_64,Female,AD Dementia,BBBM Testing and Treatment,AD Deaths,Number,889.3129963335081,709.8901988276249,1027.7805900608746
177,2025,Brazil,60_to_64,Female,AD Dementia,BBBM Testing and Treatment,AD Deaths,"Rate per 100,000",0.008893129963335081,0.007098901988276249,0.010277805900608747
178,2025,Brazil,60_to_64,Female,AD Dementia,BBBM Testing and Treatment,Averted Deaths,Number,0.0,0.0,0.0
179,2025,Brazil,60_to_64,Female,AD Dementia,BBBM Testing and Treatment,Averted Deaths,"Rate per 100,000",0.0,0.0,0.0
180,2025,Brazil,60_to_64,Male,AD Dementia,Reference,AD Deaths,Number,409.5520377851682,335.44262142404256,516.8156667289028
181,2025,Brazil,60_to_64,Male,AD Dementia,Reference,AD Deaths,"Rate per 100,000",0.004095520377851683,0.0033544262142404255,0.005168156667289028
182,2025,Brazil,60_to_64,Male,AD Dementia,Reference,Averted Deaths,Number,0.0,0.0,0.0
183,2025,Brazil,60_to_64,Male,AD Dementia,Reference,Averted Deaths,"Rate per 100,000",0.0,0.0,0.0
184,2025,Brazil,60_to_64,Male,AD Dementia,BBBM Testing Only,AD Deaths,Number,409.5520377851682,335.44262142404256,516.8156667289028
185,2025,Brazil,60_to_64,Male,AD Dementia,BBBM Testing Only,AD Deaths,"Rate per 100,000",0.004095520377851683,0.0033544262142404255,0.005168156667289028
186,2025,Brazil,60_to_64,Male,AD Dementia,BBBM Testing Only,Averted Deaths,Number,0.0,0.0,0.0
187,2025,Brazil,60_to_64,Male,AD Dementia,BBBM Testing Only,Averted Deaths,"Rate per 100,000",0.0,0.0,0.0
188,2025,Brazil,60_to_64,Male,AD Dementia,BBBM Testing and Treatment,AD Deaths,Number,409.5520377851682,335.44262142404256,516.8156667289028
189,2025,Brazil,60_to_64,Male,AD Dementia,BBBM Testing and Treatment,AD Deaths,"Rate per 100,000",0.004095520377851683,0.0033544262142404255,0.005168156667289028
190,2025,Brazil,60_to_64,Male,AD Dementia,BBBM Testing and Treatment,Averted Deaths,Number,0.0,0.0,0.0
191,2025,Brazil,60_to_64,Male,AD Dementia,BBBM Testing and Treatment,Averted Deaths,"Rate per 100,000",0.0,0.0,0.0
192,2025,Brazil,65_to_69,Female,AD Dementia,Reference,AD Deaths,Number,1844.934417832234,1497.7903096143295,2172.5760480603685
193,2025,Brazil,65_to_69,Female,AD Dementia,Reference,AD Deaths,"Rate per 100,000",0.018449344178322342,0.014977903096143295,0.021725760480603686
194,2025,Brazil,65_to_69,Female,AD Dementia,Reference,Averted Deaths,Number,0.0,0.0,0.0
195,2025,Brazil,65_to_69,Female,AD Dementia,Reference,Averted Deaths,"Rate per 100,000",0.0,0.0,0.0
196,2025,Brazil,65_to_69,Female,AD Dementia,BBBM Testing Only,AD Deaths,Number,1844.934417832234,1497.7903096143295,2172.5760480603685
197,2025,Brazil,65_to_69,Female,AD Dementia,BBBM Testing Only,AD Deaths,"Rate per 100,000",0.018449344178322342,0.014977903096143295,0.021725760480603686
198,2025,Brazil,65_to_69,Female,AD Dementia,BBBM Testing Only,Averted Deaths,Number,0.0,0.0,0.0
199,2025,Brazil,65_to_69,Female,AD Dementia,BBBM Testing Only,Averted Deaths,"Rate per 100,000",0.0,0.0,0.0
200,2025,Brazil,65_to_69,Female,AD Dementia,BBBM Testing and Treatment,AD Deaths,Number,1844.934417832234,1497.7903096143295,2172.5760480603685
201,2025,Brazil,65_to_69,Female,AD Dementia,BBBM Testing and Treatment,AD Deaths,"Rate per 100,000",0.018449344178322342,0.014977903096143295,0.021725760480603686
202,2025,Brazil,65_to_69,Female,AD Dementia,BBBM Testing and Treatment,Averted Deaths,Number,0.0,0.0,0.0
203,2025,Brazil,65_to_69,Female,AD Dementia,BBBM Testing and Treatment,Averted Deaths,"Rate per 100,000",0.0,0.0,0.0
204,2025,Brazil,65_to_69,Male,AD Dementia,Reference,AD Deaths,Number,744.9946592092108,581.1738440951435,867.8602705447613
205,2025,Brazil,65_to_69,Male,AD Dementia,Reference,AD Deaths,"Rate per 100,000",0.007449946592092108,0.005811738440951435,0.008678602705447612
206,2025,Brazil,65_to_69,Male,AD Dementia,Reference,Averted Deaths,Number,0.0,0.0,0.0
207,2025,Brazil,65_to_69,Male,AD Dementia,Reference,Averted Deaths,"Rate per 100,000",0.0,0.0,0.0
208,2025,Brazil,65_to_69,Male,AD Dementia,BBBM Testing Only,AD Deaths,Number,744.9946592092108,581.1738440951435,867.8602705447613
209,2025,Brazil,65_to_69,Male,AD Dementia,BBBM Testing Only,AD Deaths,"Rate per 100,000",0.007449946592092108,0.005811738440951435,0.008678602705447612
210,2025,Brazil,65_to_69,Male,AD Dementia,BBBM Testing Only,Averted Deaths,Number,0.0,0.0,0.0
211,2025,Brazil,65_to_69,Male,AD Dementia,BBBM Testing Only,Averted Deaths,"Rate per 100,000",0.0,0.0,0.0
212,2025,Brazil,65_to_69,Male,AD Dementia,BBBM Testing and Treatment,AD Deaths,Number,744.9946592092108,581.1738440951435,867.8602705447613
