,Year,Location,Age,Sex,Disease Stage,Scenario,Measure,Metric,Mean,95% UI Lower,95% UI Upper
39,2029,Brazil,75_to_80,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,0.0,0.0,0.0
40,2030,Brazil,60_to_65,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,23851.81094850849,20760.53518350548,27297.69100081399
41,2030,Brazil,65_to_70,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,19715.647791108342,17142.262117085156,22569.413245599026
42,2030,Brazil,70_to_75,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,15193.598140829052,12983.99920279512,17477.008820276213
43,2030,Brazil,75_to_80,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,10478.769489867576,8816.117549703347,12221.550164509865
44,2030,Brazil,60_to_65,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,20757.85531620146,18034.90156186019,23740.122610864048
45,2030,Brazil,65_to_70,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,16684.89561447287,14479.722310574887,19087.575510247054
46,2030,Brazil,70_to_75,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,12454.594833451873,10691.928233296601,14291.607733864692
47,2030,Brazil,75_to_80,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,8372.299267476094,7128.122117145652,9684.908753383083
48,2031,Brazil,60_to_65,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,11357.8536347183,9878.985138873344,12996.280951014782
49,2031,Brazil,65_to_70,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,4629.055089665768,4025.7375626413386,5300.8680178354625
50,2031,Brazil,70_to_75,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,3623.268726221121,3098.1380350916547,4167.059006475364
51,2031,Brazil,75_to_80,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,2519.759719781663,2116.7778919466537,2943.993723002709
52,2031,Brazil,60_to_65,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,10005.053445089572,8687.658231091284,11442.648322829551
53,2031,Brazil,65_to_70,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,3913.3360259014257,3395.885144324068,4476.713843357163
54,2031,Brazil,70_to_75,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,2982.9791544543887,2561.763500674523,3422.8122512818154
55,2031,Brazil,75_to_80,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,2012.126528530909,1711.3464730282028,2330.6255453361964
56,2032,Brazil,60_to_65,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,14336.029202790529,12467.89454656655,16405.624088718054
57,2032,Brazil,65_to_70,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,5371.118393777325,4671.351526150806,6152.318339613739
58,2032,Brazil,70_to_75,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,4243.476502931893,3631.9969081055688,4880.131358094248
59,2032,Brazil,75_to_80,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,2971.0013806764064,2492.795206297863,3474.9776119502712
60,2032,Brazil,60_to_65,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,12668.037862192325,10997.450120079893,14489.9462782568
61,2032,Brazil,65_to_70,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,4543.070606600143,3941.716920372076,5196.975102056339
62,2032,Brazil,70_to_75,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,3506.141324540194,3012.6720091297802,4023.5195102910143
63,2032,Brazil,75_to_80,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,2370.3523174093402,2014.2466843475552,2747.8928459416834
64,2033,Brazil,60_to_65,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,30583.06848549576,26595.293673788718,34994.631788781415
65,2033,Brazil,65_to_70,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,35207.44088176142,30666.19364211604,40319.3083125895
66,2033,Brazil,70_to_75,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,28537.933341470765,24640.23543987276,32688.647866702533
67,2033,Brazil,75_to_80,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,20793.25316611093,17594.641745870904,24122.781745499153
68,2033,Brazil,60_to_65,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,27022.009998273774,23458.611652120133,30907.47772487148
69,2033,Brazil,65_to_70,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,30123.669794198137,26177.51844420412,34461.19725238916
70,2033,Brazil,70_to_75,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,23906.366046443243,20648.985191008058,27359.679611073218
71,2033,Brazil,75_to_80,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,16774.056731599932,14325.557015987602,19355.85470915815
72,2034,Brazil,60_to_65,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,31649.352911970593,27518.239132250885,36218.898034261
73,2034,Brazil,65_to_70,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,13661.352454978389,11889.278505959213,15649.868938186768
74,2034,Brazil,70_to_75,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,10983.674668814128,9469.92547668508,12605.43154323982
75,2034,Brazil,75_to_80,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,7923.93542979792,6675.270543673123,9223.973776801558
76,2034,Brazil,60_to_65,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,28049.62323505144,24344.86448711178,32088.85966163062
77,2034,Brazil,65_to_70,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,11684.107109068453,10142.558652456557,13365.831734210766
78,2034,Brazil,70_to_75,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,9179.313198639984,7921.624970584971,10520.515792045866
79,2034,Brazil,75_to_80,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,6350.304648634112,5407.2690506533845,7342.694322768799
80,2035,Brazil,60_to_65,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,38640.246927523345,33593.353988570525,44223.444117669635
81,2035,Brazil,65_to_70,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,15167.713707672085,13199.035143180978,17377.700134623476
82,2035,Brazil,70_to_75,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,12196.261929237158,10518.820449551129,14003.529720990882
83,2035,Brazil,75_to_80,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,9023.204462495634,7603.748090989398,10498.72393622818
84,2035,Brazil,60_to_65,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,34276.23657827032,29745.274689202462,39218.409640656275
85,2035,Brazil,65_to_70,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,13034.082959324498,11312.58351817481,14912.379729180859
86,2035,Brazil,70_to_75,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,10177.164001384273,8782.586924051591,11665.030831264112
87,2035,Brazil,75_to_80,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,7280.3189168354265,6201.777803162737,8417.90572710287
88,2036,Brazil,60_to_65,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,51915.62133178934,45137.410033472726,59429.12770164545
89,2036,Brazil,65_to_70,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,50678.70122905771,44091.481039920596,58030.13742600906
90,2036,Brazil,70_to_75,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,47837.997972654906,41474.80192259847,54863.192103266425
91,2036,Brazil,75_to_80,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,36993.76367947273,31516.155346017295,42696.14027939012
92,2036,Brazil,60_to_65,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,46043.18461249396,39955.544128279624,52695.043189168224
93,2036,Brazil,65_to_70,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,44011.78804594081,38208.53030890883,50347.54971015233
94,2036,Brazil,70_to_75,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,40302.5965296475,34908.92694417159,46156.46702976434
95,2036,Brazil,75_to_80,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,30358.941379917058,26021.272591255638,34914.29154681297
96,2037,Brazil,60_to_65,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,58551.32630799939,50901.290944201595,67030.66420919068
97,2037,Brazil,65_to_70,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,36303.990149635276,31576.210149583465,41582.993295766384
98,2037,Brazil,70_to_75,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,25326.47310564547,21874.867567756504,29096.965378136138
99,2037,Brazil,75_to_80,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,19381.73465477607,16411.709358077733,22495.595172382153
100,2037,Brazil,60_to_65,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,51977.65551953095,45102.51363018125,59498.627998360775
101,2037,Brazil,65_to_70,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,31664.87986897521,27476.406139575643,36233.10783016887
102,2037,Brazil,70_to_75,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,21213.37526685827,18320.713561021887,24318.592489232462
103,2037,Brazil,75_to_80,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,15854.55006139253,13545.671354968861,18307.552987546922
104,2038,Brazil,60_to_65,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,65677.96370039854,57091.492043737395,75195.47094253224
105,2038,Brazil,65_to_70,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,38245.571002272016,33262.3526103266,43810.19658444152
106,2038,Brazil,70_to_75,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,26150.783654562027,22588.392647792396,30049.74424947288
107,2038,Brazil,75_to_80,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,20115.423053041348,17058.74937841771,23348.48646871342
108,2038,Brazil,60_to_65,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,58375.18010728251,50651.602993991306,66834.43955490665
109,2038,Brazil,65_to_70,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,33490.100162006434,29057.039417295186,38329.01673934442
110,2038,Brazil,70_to_75,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,21967.546729090504,18969.57341442108,25183.737430737663
111,2038,Brazil,75_to_80,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,16520.126942351424,14127.64796295507,19079.743512295543
112,2039,Brazil,60_to_65,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,76680.78723496365,66651.13511987751,87799.52184104495
113,2039,Brazil,65_to_70,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,54365.26686751946,47286.00299883756,62271.15449161311
114,2039,Brazil,70_to_75,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,63467.73085495734,55053.4487662225,72790.10466301526
115,2039,Brazil,75_to_80,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,50438.7633650086,43306.09238071052,58132.15889037651
116,2039,Brazil,60_to_65,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,68247.34780295705,59215.565836910566,78148.62379865101
117,2039,Brazil,65_to_70,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,47767.72175287588,41450.08517580945,54676.02244922351
118,2039,Brazil,70_to_75,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,54142.21028320758,46901.855998884814,61990.46881868342
119,2039,Brazil,75_to_80,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,42069.027375198675,36236.55319904109,48356.29712841695
120,2040,Brazil,60_to_65,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,86581.77921760938,75251.95044187397,99143.72085313016
121,2040,Brazil,65_to_70,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,57978.641399834945,50425.19670103987,66413.48243871571
122,2040,Brazil,70_to_75,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,40397.762425422756,34956.29569825241,46386.15002095658
123,2040,Brazil,75_to_80,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,31507.377854512804,26879.92104875745,36495.33538563342
124,2040,Brazil,60_to_65,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,77183.04812704843,66966.67538008787,88393.11999612828
125,2040,Brazil,65_to_70,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,51046.593861858615,44291.87327603203,58440.815324205716
126,2040,Brazil,70_to_75,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,34411.82093728722,29747.878046816477,39432.5717078412
127,2040,Brazil,75_to_80,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,26066.967516743043,22365.571449421353,30064.10603022896
128,2041,Brazil,60_to_65,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,96909.9695398028,84224.09258061508,110978.53575346788
129,2041,Brazil,65_to_70,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,61790.61038107647,53737.40460368545,70784.13336001182
130,2041,Brazil,70_to_75,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,41014.309268708406,35490.03632122591,47098.542747243206
131,2041,Brazil,75_to_80,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,32322.960054093175,27587.917414461866,37450.26178641967
132,2041,Brazil,60_to_65,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,86519.16114088868,75065.56819376496,99100.07712271978
133,2041,Brazil,65_to_70,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,54483.401499942665,47272.09765865125,62387.94886682991
134,2041,Brazil,70_to_75,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,35149.95371058734,30384.823214973203,40287.94127681894
135,2041,Brazil,75_to_80,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,26774.69571904147,22973.31924656838,30883.176151426742
136,2042,Brazil,60_to_65,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,107547.61350361549,93465.20807677267,123171.42137614872
137,2042,Brazil,65_to_70,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,71794.38884589919,62435.14398801142,82245.54105238132
138,2042,Brazil,70_to_75,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,65049.32156175459,56397.31559123976,74618.32545675841
139,2042,Brazil,75_to_80,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,63257.61775640471,54484.04235303363,72914.83420464394
140,2042,Brazil,60_to_65,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,96127.24389477096,83400.57111837326,110121.97294789716
141,2042,Brazil,65_to_70,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,63403.440813870635,55012.1654427078,72612.6618447256
142,2042,Brazil,70_to_75,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,56358.270776803,48797.263658227705,64560.15840319372
143,2042,Brazil,75_to_80,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,53092.88880913511,45808.337062278726,61014.196424301896
144,2043,Brazil,60_to_65,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,118403.2596660636,102896.40182513745,135617.96441414018
145,2043,Brazil,65_to_70,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,77920.22060355535,67757.49692861816,89266.2818914969
146,2043,Brazil,70_to_75,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,58169.7081505595,50407.8962949569,66753.97441837292
147,2043,Brazil,75_to_80,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,45235.503520446044,38774.78238685322,52294.40714538804
148,2043,Brazil,60_to_65,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,105913.58470768687,91890.92887147829,121352.5249222088
149,2043,Brazil,65_to_70,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,68929.17346357918,59807.046261711694,78953.42163240431
150,2043,Brazil,70_to_75,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,50584.6577131223,43777.030850008436,57974.2478346632
151,2043,Brazil,75_to_80,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,37846.875011736425,32543.889177180085,43580.17477959526
152,2044,Brazil,60_to_65,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,129230.11838209543,112304.4839864459,148034.18077543986
153,2044,Brazil,65_to_70,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,84572.6617005772,73537.07897169668,96890.65331144698
154,2044,Brazil,70_to_75,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,60276.92022864042,52239.034266320894,69173.5555731025
155,2044,Brazil,75_to_80,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,47009.41523306594,40307.691111940505,54339.8200996945
156,2044,Brazil,60_to_65,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,115653.27374134745,100342.47652366945,132536.7756939185
157,2044,Brazil,65_to_70,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,74958.66083597305,65039.800925482195,85872.38672280786
158,2044,Brazil,70_to_75,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,52618.635461874066,45539.57655046294,60318.70691431476
159,2044,Brazil,75_to_80,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,39542.106157814625,34003.79472165468,45529.850457240216
160,2045,Brazil,60_to_65,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,139882.23677666637,121561.85347152398,160253.16977949647
161,2045,Brazil,65_to_70,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,93110.11517280235,80954.36951540978,106674.04504753725
162,2045,Brazil,70_to_75,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,68946.21715419459,59783.55028136214,79111.04185278095
163,2045,Brazil,75_to_80,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,78217.4526463973,67455.06145765468,90073.56069302947
164,2045,Brazil,60_to_65,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,125216.0309436046,108641.83655312218,143524.56697735912
165,2045,Brazil,65_to_70,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,82701.27479960507,71757.96950761152,94752.53550163319
166,2045,Brazil,70_to_75,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,60385.421021068934,52281.451400162245,69228.13904940685
167,2045,Brazil,75_to_80,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,66869.4183116295,57726.50358130368,76800.01563122348
168,2046,Brazil,60_to_65,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,127586.7882332276,110860.51876468491,146169.62218653294
169,2046,Brazil,65_to_70,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,82504.7046916717,71727.48527158858,94499.51495136129
170,2046,Brazil,70_to_75,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,55407.397392111525,48154.12028774132,63502.16710319367
171,2046,Brazil,75_to_80,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,51579.19111463299,44559.03413998126,59296.37674072259
172,2046,Brazil,60_to_65,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,114263.08040657458,99132.48029840105,130989.86326252093
173,2046,Brazil,65_to_70,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,73519.2368531216,63796.047075495924,84217.69982038577
174,2046,Brazil,70_to_75,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,48705.18995661329,42230.78680893182,55794.359118518325
175,2046,Brazil,75_to_80,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,44339.80895692214,38303.33858911367,50869.22134578811
176,2047,Brazil,60_to_65,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,132528.92117691267,115158.32412940463,151848.13733146148
177,2047,Brazil,65_to_70,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,91226.8812194622,79304.71009784332,104495.14579637045
178,2047,Brazil,70_to_75,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,57746.95130137867,50188.00985275583,66187.11480579709
179,2047,Brazil,75_to_80,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,53437.72615079787,46172.60481766635,61431.28585060675
180,2047,Brazil,60_to_65,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,118705.01952395929,102985.37785099006,136114.29362725525
181,2047,Brazil,65_to_70,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,81421.41716657318,70651.51924535952,93281.90487183446
182,2047,Brazil,70_to_75,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,50843.298885476375,44087.56782844708,58255.91884709152
183,2047,Brazil,75_to_80,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,46219.33614168372,39931.13864892496,53034.13133353104
184,2048,Brazil,60_to_65,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,136936.51330795983,118992.90450968588,156913.05755883126
185,2048,Brazil,65_to_70,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,100135.93590471835,87044.57613747941,114707.74442160166
186,2048,Brazil,70_to_75,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,64003.22123230016,55627.28975030974,73356.53665972319
187,2048,Brazil,75_to_80,Female,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,70038.49088548784,60612.880710450634,80441.67411790433
188,2048,Brazil,60_to_65,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,122674.11019674214,106379.9392542527,140698.92962639523
189,2048,Brazil,65_to_70,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,89480.47966698032,77643.23565939585,102528.82128479076
190,2048,Brazil,70_to_75,Male,Susceptible,BBBM Testing and Treatment,Improper Medication Uses,Number,56473.46747482545,48975.43727395825,64714.250156529626
